bundle_id,expected_profit,deal_score,strategy,strategy_reason,total_cost,total_value,listing_id,title,url,image_url,end_time,location,seller_rating,user_action,user_notes,user_tags,item_count,hours_remaining,profit_margin_pct,run_id,evaluated_at
22,963.90,10.0,bid_now,"Bid today, profit 964 CHF",48.60,1125.00,10,25x APPLE AirPods Pro 2. Generation Lader A2700 (26012304),https://www.ricardo.ch/de/a/25x-apple-airpods-pro-2-generation-lader-a2700-(26012304)-1309454646/,https://img.ricardostatic.ch/images/7be308bd-a54e-4832-850e-482fe853a745/t_265x200/25x-apple-airpods-pro-2-generation-lader-a2700-(26012304),2026-01-30 20:58:00+01:00,,,,,,1,12.4017164788888889,1983.3333333333333300,b19ad9cf-428b-4c38-8b97-48de6602d307,2026-01-30 08:32:52.683910+01:00
25,34.25,8.3,watch,"Inquire, profit 34 CHF",40.00,82.50,20,10 kg M&F Sport Hantelscheibe Gewichtscheibe Olympic Scheibe,https://www.ricardo.ch/de/a/10-kg-m-f-sport-hantelscheibe-gewichtscheibe-olympic-scheibe-1303880590/,https://img.ricardostatic.ch/images/8af8ec1c-70cb-4f3a-9d59-9e353360d662/t_265x200/10-kg-m-f-sport-hantelscheibe-gewichtscheibe-olympic-scheibe,2026-02-06 10:50:00+01:00,,,,,,0,170.2683831455555556,85.62500000000000000000,b19ad9cf-428b-4c38-8b97-48de6602d307,2026-01-30 08:33:01.607774+01:00
28,19.60,6.1,skip,Profit 20 CHF below minimum (20),53.30,81.00,29,iPhone 12 mini black mit Apple Hülle in OVP,https://www.ricardo.ch/de/a/iphone-12-mini-black-mit-apple-huelle-in-ovp-1309444284/,https://img.ricardostatic.ch/images/8f2b8519-6621-4235-933e-c8b46a19bf8b/t_265x200/iphone-12-mini-black-mit-apple-huelle-in-ovp,2026-02-01 19:37:00+01:00,,,,,,2,59.0517164788888889,36.77298311444652908100,b19ad9cf-428b-4c38-8b97-48de6602d307,2026-01-30 08:33:13.583891+01:00
27,-19.89,4.3,skip,Profit -20 CHF below minimum (20),97.65,86.40,24,iPhone 12 mini inkl. Cover und Kabel,https://www.ricardo.ch/de/a/iphone-12-mini-inkl-cover-und-kabel-1308769928/,https://img.ricardostatic.ch/images/80d88dc4-e182-4c71-a028-aa811660bbb0/t_265x200/iphone-12-mini-inkl-cover-und-kabel,2026-01-30 08:54:00+01:00,,,,,,3,0.33504981222222222222,-20.36866359447004608300,b19ad9cf-428b-4c38-8b97-48de6602d307,2026-01-30 08:33:11.589604+01:00
24,-316.22,2.8,skip,Profit -316 CHF below minimum (20),590.00,304.20,18,Tunturi Olympisches Gewichtsset 140 kg (Originalverpackt),https://www.ricardo.ch/de/a/tunturi-olympisches-gewichtsset-140-kg-(originalverpackt)-1275806520/,https://img.ricardostatic.ch/images/f3f8330d-2f23-4c3d-9a4f-f8736424251c/t_265x200/tunturi-olympisches-gewichtsset-140-kg-(originalverpackt),2026-02-04 15:15:00+01:00,,,,,,2,126.6850498122222222,-53.59661016949152542400,b19ad9cf-428b-4c38-8b97-48de6602d307,2026-01-30 08:32:58.622012+01:00
23,-454.36,2.8,skip,Profit -454 CHF below minimum (20),490.00,39.60,17,Olympisches Gewichtsset 100Kg Tunturi (Neu / Originalverp.),https://www.ricardo.ch/de/a/olympisches-gewichtsset-100kg-tunturi-(neu-originalverp)-1275806608/,https://img.ricardostatic.ch/images/089ceafb-947e-4027-a77a-2d6d624c8dfa/t_265x200/olympisches-gewichtsset-100kg-tunturi-(neu-originalverp),2026-02-04 15:13:00+01:00,,,,,,1,126.6517164788888889,-92.72653061224489795900,b19ad9cf-428b-4c38-8b97-48de6602d307,2026-01-30 08:32:54.425210+01:00
26,-59.94,1.0,skip,Profit -60 CHF below minimum (20),64.80,5.40,21,2 Stk. 5cm Olympic Adapter zu Hantelstangen (LOT367#SPA),https://www.ricardo.ch/de/a/2-stk-5cm-olympic-adapter-zu-hantelstangen-(lot367-spa)-1225575674/,https://img.ricardostatic.ch/images/71af4df0-74b7-4d74-963c-45d3324a7854/t_265x200/2-stk-5cm-olympic-adapter-zu-hantelstangen-(lot367-spa),2026-02-02 15:52:00+01:00,,,,,,1,79.3017164788888889,-92.50000000000000000000,b19ad9cf-428b-4c38-8b97-48de6602d307,2026-01-30 08:33:05.912796+01:00
